待售房屋;室;厅;卫;面积;面积单位;朝向;楼层;建筑年份;小区名称;区;镇;道路;标签;总价;总价单位;均价;均价单位
2室2厅 张泾新村一区 70平 精装修 满五  住房 采光好;2室;2厅;1卫;70;㎡;南北;共5层;2014年建造;张泾新村一区;工业园;跨塘;葑亭大道;南北,满五年,近地铁,;173;万;24715;元/㎡
首开一号  东边户位于小区中心前后景观成就  居住;4室;2厅;2卫;147.2;㎡;南;中层(共32层);2018年建造;首开玖珑花园;吴江;太湖新城;高新路2999号;南,满二年,近地铁,次新房,;356;万;24182;元/㎡
捡漏丨疫情生意亏损丨来电立减丨近地铁丨精装修带家具丨高品质丨;2室;1厅;1卫;103;㎡;南北;中层(共11层);2015年建造;康元小区;相城;元和;康元路157号;南北,满二年,多人关注,;106;万;10292;元/㎡
新上精装修小户型房源丨资金周转急抛丨来电可议价丨赠送车位丨;3室;2厅;1卫;101;㎡;南北;低层(共18层);2015年建造;捷达名轩;吴江;运东;运河中路1288号;南北,满五年,配套成熟,多人关注,;107.9;万;10684;元/㎡
房东直降8万急售  程开甲边  130平大三房 采光视野好;3室;2厅;2卫;130;㎡;南;高层(共15层);2019年建造;盛意花苑;吴江;盛泽;如意路28号;南,满二年,配套成熟,次新房,;145;万;11154;元/㎡
性价比超高，望湖苑，总价低，有钥匙，    ，4.1  ;2室;2厅;1卫;88.2;㎡;南北;低层(共16层);2014年建造;新湖明珠城望湖苑;吴江;城北;江陵西路1888号;南北,满五年,近地铁,;143;万;16217;元/㎡
急）诚售新区晋源花园北区全新毛坯小户2室出售房东已购新房;2室;1厅;1卫;68;㎡;南北;低层(共25层);2019年建造;熙岸晋源花园;虎丘;虎丘城区;横塘路88号;南北,有电梯,近地铁,次新房,;157;万;23089;元/㎡
内部抄底价购狮山南复式房5号线地铁旁大横厅4房3卫改善必买;4室;2厅;3卫;143.6;㎡;南北;低层(共6层);2020年建造;诺德姑苏上府;吴中;木渎;花苑东路,近长石路;南北,满二年,近地铁,车位充足,;351;万;24440;元/㎡
急售华鑫 电梯房 朝南 109平 楼层好 视野无遮挡 可谈;3室;2厅;2卫;109.1;㎡;南;高层(共33层);2016年建造;华鑫天域居;常熟;碧溪;碧浒路10号;南,满二年,;114;万;10450;元/㎡
甪端新区降价急售温馨小户。;1室;1厅;1卫;60.4;㎡;南北;低层(共31层);2017年建造;南山维拉;吴中;甪直;机场路95号;南北,满二年,次新房,;138;万;22844;元/㎡
和美家园中上楼层边户 毛坯三房南北通透 满五年;3室;2厅;1卫;89.7;㎡;南;高层(共25层);2014年建造;和美家园(姑苏);金阊;金阊新城;虎池路1689号;南,满五年,近地铁,;147.8;万;16479;元/㎡
精装修带车库！业主置换诚意急售！来电立减十万！产权清晰无抵押;1室;1厅;1卫;45;㎡;南北;共5层;2004年建造;吴淞新村;工业园;胜浦;通江路;南北,满五年,配套成熟,;98;万;21778;元/㎡
洋房 急需出售 房东 定了其它区域房子 亏本20万出售;3室;2厅;1卫;85;㎡;南北;低层(共7层);2016年建造;中旅水泊堂前;吴中;香山;承祖路6号;南北,满五年,车位充足,;129;万;15177;元/㎡
房东急用钱，环秀湖改善大四房，豪装，看房随时;4室;2厅;2卫;146;㎡;南北;高层(共21层);2017年建造;非凡环秀湖花园;相城;高铁新城;太东路,近相融路;南北,满二年,近地铁,绿化率高,;345;万;23631;元/㎡
满五年  带车库，精装修三房，南北通透，采光刺眼，看房有钥匙;3室;2厅;1卫;89.2;㎡;南北;高层(共6层);2012年建造;格林华城;吴江;运东;江陵东路8号;南北,满五年,;138;万;15475;元/㎡
（急售好房！刚上架！低于市场二十万！价格可谈！）;2室;1厅;1卫;78.6;㎡;南北;高层(共11层);2015年建造;常发香堤澜湾;工业园;青剑湖;杨庭路;南北,满五年,绿化率高,;162;万;20622;元/㎡
大甩卖！76万一口价！产证齐全！附赠20平！全新装修！带车位;2室;1厅;1卫;55.8;㎡;南北;低层(共6层);2000年建造;湄长新村东小区;沧浪;南门;苏苑街,近湄长路;南北,满五年,近地铁,;112;万;20058;元/㎡
业主抛售，  便宜，荷塘月苑 183万 3室2厅2卫 毛坯;3室;2厅;2卫;101;㎡;南;中层(共18层);2017年建造;荷塘月苑;吴江;盛泽;秋泽路,近春旭路;南,有电梯,配套成熟,车位充足,;183;万;18119;元/㎡
海亮边套4房户型正气，性价比超高，有钥匙，离地铁近，急售;4室;2厅;1卫;104;㎡;南北;高层(共26层);2016年建造;海亮长桥府;吴江;城北;江陵西路1236号;南北,满五年,近地铁,车位充足,;183;万;17597;元/㎡
房源采光好，南北通透，业主诚意出;1室;1厅;1卫;51.3;㎡;南;高层(共6层);2000年建造;梅花二村;平江;平江新城;官渎路471号;南,满五年,近地铁,车位充足,;108;万;21049;元/㎡
柳岸晓风，精装大四房，直降50万，业主诚意出售，有钥匙随时看;4室;2厅;2卫;132.7;㎡;南;低层(共11层);2022年建造;绿城招商柳岸晓风;吴中;吴中太湖新城;连柱山路,近Y005;南,唯一住房,近地铁,;310;万;23367;元/㎡
梅花正规小户，简单装修，靠近地铁，交通便利;1室;1厅;1卫;51.3;㎡;南;中层(共6层);2000年建造;梅花二村;平江;平江新城;官渎路471号;南,满五年,近地铁,车位充足,;110;万;21439;元/㎡
146万抢！！单实验  有名  房东急卖   虞园新村好房;2室;1厅;1卫;65;㎡;南;共5层;2010年建造;虞园新村;常熟;市区;湘江东路;南,满二年,;146;万;22462;元/㎡
苏苑新村(北区)63.61平139万2室2厅1卫;2室;2厅;1卫;63.6;㎡;南;共5层;2015年建造;苏苑新村(北区);吴中;苏苑;苏苑街;南,满五年,近地铁,;139;万;21852;元/㎡
新上置顶好房！鲈乡二村85平精装三房，145万可谈 ，有钥匙;3室;2厅;1卫;85.3;㎡;南北;共5层;1999年建造;鲈乡二村;吴江;吴江老城;永康路;南北,满五年,近地铁,;145;万;16999;元/㎡
顶带阁玉莲新村精装修;5室;2厅;2卫;117.4;㎡;南;共5层;2005年建造;玉莲新村;相城;黄埭;华阳路;南,满二年,;175;万;14906;元/㎡
捡漏必卖好房 纯边户全天采光 婚装保养极新 换房急售南山金城;3室;2厅;1卫;87.9;㎡;南;低层(共25层);2009年建造;南山金城1958;金阊;金阊新城;城北西路1958号;南,满二年,配套成熟,;172;万;19562;元/㎡
跨塘 张泾二区 装修两房 诚售128万 中间楼层 换房诚售;2室;1厅;1卫;52;㎡;南北;共5层;2006年建造;张泾新村二区;工业园;跨塘;汇隆街;南北,满五年,近地铁,;128;万;24616;元/㎡
房东亏本甩！！只求尽快成交！花样年边户三房 随时看房 看中谈;3室;2厅;1卫;103.8;㎡;南北;高层(共17层);2017年建造;花样年别样城(南区);吴中;香山;伍相路3号;南北,满五年,绿化率高,;135;万;13003;元/㎡
急山水华庭 只要118万 小户精装修 拎包入住 只要118万;1室;1厅;1卫;44;㎡;南;中层(共11层);2008年建造;山水华庭;吴中;木渎;长江中路99号;南,满五年,近地铁,;118;万;26819;元/㎡
跨塘 高浜小区 新上110平中户阁楼 中间位置 急售175万;2室;1厅;1卫;110;㎡;南北;共5层;2007年建造;高浜一村;工业园;跨塘;高浜路;南北,满五年,近地铁,;175;万;15910;元/㎡
雍合湾 73加12平 套内85平 急售 3房2厅 满五省税;3室;2厅;1卫;73.2;㎡;南北;中层(共11层);2013年建造;雍合湾花园;工业园;唯亭;金陵东路338号;南北,满五年,配套成熟,绿化率高,;145;万;19801;元/㎡
房东急卖 中央公园城 精装三房 满两年 看房方便;3室;2厅;1卫;105;㎡;南北;中层(共18层);2018年建造;中央公园城(二期);吴江;盛泽;杨扇路,近目澜路;南北,满二年,配套成熟,车位充足,;120;万;11433;元/㎡
湖畔花园湖景大四房 豪华装修 双星湾 0.5佣J 带车位;4室;2厅;2卫;218;㎡;南北;低层(共25层);2005年建造;中天湖畔花园;工业园;湖西;星港街258号;南北,满五年,近地铁,绿化率高,;1140;万;52294;元/㎡
大新 富华佳园 小套精装修带汽车位和自行车库 品牌家电齐全;2室;2厅;1卫;93.5;㎡;南北;中层(共9层);2017年建造;富华佳园;张家港;大新;府前路;南北,满五年,次新房,;90;万;9626;元/㎡
悠步临湖三房两厅两卫88平150万，全新装修，随时看房;3室;2厅;2卫;85.1;㎡;南;高层(共13层);2019年建造;金辉悠步临湖;吴中;临湖镇;东山大道,近渡村路;南,满二年,次新房,;150;万;17627;元/㎡
怡邻五区 地铁口 纯毛坯 自由装修 满两年   课 随时看房;2室;1厅;1卫;69.5;㎡;南;共4层;2008年建造;怡邻社区五区;工业园;唯亭;阳澄湖大道;南,满二年,;140;万;20156;元/㎡
106平纯毛坯 南北通透 3室2厅有钥匙130万可谈;3室;2厅;2卫;107;㎡;南北;低层(共13层);2017年建造;山湖鸿辉苑;吴江;运东;东太湖大道,庞东路;南北,唯一住房,近地铁,次新房,;130;万;12150;元/㎡
苏苑迎春 产权70年 有电梯;2室;1厅;1卫;67.8;㎡;南北;高层(共25层);2009年建造;嘉宝广场;吴中;苏苑;宝带东路323号;南北,满二年,近地铁,;154.8;万;22849;元/㎡
绿地香奈147.00平300万4室2厅3卫;4室;2厅;3卫;147;㎡;南;低层(共17层);2020年建造;绿地香奈;吴江;太湖新城;庞杨路,近夏蓉街;南,满二年,近地铁,次新房,;300;万;20409;元/㎡
本周新上房源！价格直降10w！房东急售房源！产证齐全！;3室;2厅;1卫;81;㎡;南北;中层(共12层);2016年建造;富元雅苑;相城;蠡口;康元路;南北,满五年,近地铁,多人关注,;125;万;15433;元/㎡
（老业主委托，独有）（婚装30万，保养新）（送家具家电车位）;2室;2厅;1卫;101;㎡;南;高层(共10层);2018年建造;中旅蓝岸花园;工业园;斜塘;淞江路218号;南,满五年,近地铁,绿化率高,;309;万;30589;元/㎡
石里南弄，小三房，保养好119万可谈，诚心出手，满五  ;3室;2厅;1卫;81.3;㎡;东;共5层;2008年建造;石里南弄小区;吴江;吴江老城;石里南弄;东,满五年,近地铁,;119;万;14634;元/㎡
超多赠送顶带阁春丰花园洋房出售;3室;1厅;2卫;82;㎡;南;共5层;2009年建造;春丰花园;相城;黄埭;春丰路246号;南,满二年,配套成熟,;160;万;19513;元/㎡
精装三房带中央空调地暖 满五 wei yi;3室;2厅;2卫;135.4;㎡;南;中层(共27层);2014年建造;中茵星墅湾;吴中;郭巷;通达路1999号;南,满五年,近地铁,;372;万;27483;元/㎡
新上 万象汇 正四房 房东急卖 直降30万 出门就是地铁;4室;2厅;2卫;146;㎡;南北;中层(共30层);2019年建造;万象汇花园;吴江;太湖新城;冬梅街199号;南北,有电梯,近地铁,次新房,;325;万;22261;元/㎡
价格可谈20万！首付三成送车位！南北通透采光好！有产证有软装;3室;2厅;2卫;83;㎡;南北;高层(共9层);2009年建造;东方海悦花园;吴江;运东;运东大道999号;南北,满二年,配套成熟,多人关注,;125;万;15061;元/㎡
畅苑地铁口 精装修 满五   拎包入住 全天采光;2室;1厅;1卫;70;㎡;南北;共5层;2010年建造;畅苑新村一区西;工业园;唯亭;畅苑环路,近戈巷街;南北,满二年,近地铁,;160;万;22858;元/㎡
和昌芳草亭，全新毛坯小三房，低总价，房东诚售，价可谈，随时看;3室;2厅;1卫;87;㎡;南北;高层(共16层);2020年建造;和昌芳草庭;相城;渭塘;翡翠路,近珍珠湖路;南北,满二年,配套成熟,车位充足,;135;万;15518;元/㎡
有钥匙 近地铁口 三元三村 全明户型 中间楼层  好房出售;2室;1厅;1卫;60;㎡;南;中层(共7层);2017年建造;三元三村;金阊;彩香;金门路;南,满五年,近地铁,次新房,;124;万;20667;元/㎡
房东急售换房又降了2万 98平仅需108万拎包入住昆承书  ;2室;2厅;2卫;98;㎡;南北;低层(共13层);2010年建造;派公馆;常熟;虞山;富阳路21号;南北,满二年,;110;万;11225;元/㎡
送车位（刚搬走，已经空置）置业海外！房子是我维护的！;4室;2厅;2卫;140.8;㎡;南;高层(共18层);2017年建造;九龙仓碧堤雅苑;吴中;郭巷;郭津路,近郭新东路;南,满二年,近地铁,次新房,;328;万;23289;元/㎡
电梯房 精装修 满二  住房 85平 南北通透 湖滨华城幸福;2室;2厅;1卫;85;㎡;南北;中层(共18层);2010年建造;湖滨华城幸福苑;吴江;南部新城;联杨路,近苏州河路;南北,满二年,近地铁,绿化率高,;140;万;16471;元/㎡
房东急卖，港城一品21楼92平南北通透打包卖114万;2室;2厅;1卫;92;㎡;南;高层(共23层);2012年建造;港城一品;张家港;塘市;新丰西路,近金港大道;南,满二年,;114;万;12392;元/㎡
新上，满五年  ，采光刺眼精装修三房，朝南双阳台，本人实地拍;3室;2厅;1卫;89.7;㎡;南北;低层(共18层);2016年建造;美岸青城;吴江;运东;运东大道1199号;南北,满五年,配套成熟,;130;万;14487;元/㎡
（新上急售）车位送（只要170还可谈）已定奥体新房;2室;1厅;1卫;79.4;㎡;南;高层(共18层);2016年建造;中海双湾锦园(东区);吴中;郭巷;依湖路,近观湖路;南,满二年,;170;万;21422;元/㎡
悦澜湾 湖景四房 精装修 有钥匙 满五唯 随时看房 星澜  ;4室;2厅;2卫;114.6;㎡;南北;中层(共18层);2014年建造;首开悦澜湾;工业园;青剑湖;唯新路88号;南北,满五年,近地铁,绿化率高,;450;万;39271;元/㎡
新上！（真实在售可看房）（业主换房急售）自住精装 带车库！;2室;1厅;1卫;62.8;㎡;南;共4层;2018年建造;国泰三村;吴中;郭巷;东安路355-1号;南,近地铁,次新房,;133;万;21196;元/㎡
刚需福音）置换急降20万！已改小三房！楼层好位置佳采光耀眼;3室;2厅;1卫;91;㎡;南北;高层(共18层);2013年建造;滨江苑;工业园;胜浦;滨江路;南北,满五年,绿化率高,;167;万;18362;元/㎡
跨塘 临芳苑小区 84平正气两房 急售150万 可随意装修;2室;2厅;1卫;84.3;㎡;南北;低层(共16层);2013年建造;临芳苑四区;工业园;跨塘;扬东路,近垮阳路;南北,满五年,近地铁,;150;万;17790;元/㎡
百芬百世茂双实验有茗鹅 纺装小区75平165可谈 客通阳户型;2室;2厅;1卫;75.3;㎡;南北;高层(共6层);2000年建造;纺装小区;常熟;市区;海虞北路;南北,满二年,;164;万;21777;元/㎡
业主急用钱 大义新小区虞宸源筑四室116平126万随时看房;4室;2厅;2卫;115.3;㎡;南北;中层(共17层);2019年建造;虞宸源筑;常熟;虞山;金陵路1号;南北,满二年,次新房,;126.6;万;10984;元/㎡
群星苑二区中户，采光没有任何影响，看房有钥匙;2室;1厅;1卫;60;㎡;南北;低层(共11层);2010年建造;群星苑二区;工业园;娄葑;文萃路,近东兴路;南北,满五年,近地铁,;169;万;28167;元/㎡
万达旁 富春雅居底叠 底楼带院子 低于市场价四十万 随时看房;4室;2厅;3卫;200.3;㎡;南北;共5层;2018年建造;富春雅居;常熟;万达广场;报慈北路965号;南北,满二年,次新房,;460;万;22968;元/㎡
急！急！急丨一口价85万丨70年产权丨精装修全丨拎包入住丨;2室;1厅;1卫;49;㎡;南北;中层(共6层);1995年建造;书院弄;平江;观前;旧学前;南北,近地铁,;112;万;22858;元/㎡
精装大2房90W 朝南户型 首付2成楼层好 采光通风俱佳;2室;2厅;1卫;94.3;㎡;南;高层(共20层);2018年建造;滨江科技创新中心;常熟;碧溪;江南大道59号;南,满二年,次新房,;90;万;9542;元/㎡
三香路 新港名仕花园 电梯房不靠马路 带车位毛坯房有钥匙;3室;2厅;2卫;140;㎡;南;高层(共8层);2007年建造;名仕花园;金阊;彩香;三香路;南,近地铁,;355;万;25358;元/㎡
房源采光好，南北通透，业主诚意出;4室;2厅;3卫;165.2;㎡;南;中层(共33层);2019年建造;芯汇花园;相城;高铁新城;南天成路,近相融路;南,满二年,近地铁,次新房,;465;万;28141;元/㎡
双地铁两室一厅房子出售，卧室都很大，周边有大润发;2室;1厅;1卫;51.4;㎡;南;中层(共6层);2010年建造;阳光水韵;吴中;城南;东吴南路,近吴中大道;南,满二年,近地铁,;119;万;23161;元/㎡
新上！北园新村，小两房，带厅，近东环高架轻轨旁;2室;1厅;1卫;52;㎡;南北;共5层;1990年建造;北园新村;平江;娄门;东北街120号;南北,满二年,近地铁,车位充足,;117;万;22500;元/㎡
刚到店登记急售好房！低于市场价20万！带车位！拎包入住！;3室;2厅;1卫;89.2;㎡;南北;中层(共18层);2011年建造;美岸青城;吴江;运东;运东大道1199号;南北,满五年,配套成熟,绿化率高,;120;万;13452;元/㎡
新上南北通透 毛坯 中天湖畔花园 可改3室;2室;2厅;2卫;116;㎡;南北;低层(共27层);2006年建造;中天湖畔花园;工业园;湖西;星港街258号;南北,满五年,近地铁,绿化率高,;540;万;46552;元/㎡
园区 新希望对面  群星苑 楼层好 装修保养虽乱但保养很好;2室;1厅;1卫;76;㎡;南;高层(共11层);2012年建造;群星苑三区;工业园;娄葑;独墅湖大道,近东兴路;南,满二年,近地铁,绿化率高,;161.8;万;21290;元/㎡
房东急卖 万象汇吾悅地铁口中房颐园 4房位置景观好 精装修;4室;2厅;2卫;143.7;㎡;南;低层(共33层);2017年建造;中房颐园;吴江;太湖新城;高新路2688号;南,满二年,近地铁,车位充足,;355;万;24712;元/㎡
新上迎春丽家精装3房2厅 装修保养好 急卖随时看房价格可谈;3室;2厅;1卫;90.2;㎡;南北;中层(共12层);2017年建造;伟业迎春丽家;吴江;城北;清阳路;南北,满五年,次新房,;162;万;17971;元/㎡
虞园新村57平客通阳 中间楼层 132万;2室;2厅;1卫;56.2;㎡;南;中层(共6层);1992年建造;虞园新村;常熟;市区;湘江东路;南,满二年,;132;万;23480;元/㎡
万科物业二手房直营店 万科金域平江花园 四房 双阳台精装 拎;4室;2厅;2卫;128.4;㎡;南北;低层(共35层);2016年建造;万科金域平江花园(三期北区);平江;平江新城;江乾路,近平泷路;南北,近地铁,;488;万;38022;元/㎡
价格可谈9万！首付三成送车位！三开间朝南采光好！有产证有软装;3室;2厅;1卫;101;㎡;南北;低层(共16层);2016年建造;捷达名轩;吴江;运东;运河中路1288号;南北,满五年,配套成熟,多人关注,;112;万;11090;元/㎡
周边配套成熟  汾湖理想城  精装带地暖  全南户型;2室;2厅;1卫;92;㎡;南;低层(共21层);2018年建造;汾湖理想城;吴江;汾湖;浦港路,近江苏路;南,满二年,次新房,;120;万;13044;元/㎡
急售，泾园新村小户，赠送大车库，房东诚心出售;1室;1厅;1卫;51.5;㎡;南北;共5层;2005年建造;泾园新村(北区);工业园;跨塘;扬东路;南北,满五年,配套成熟,;114;万;22136;元/㎡
大新 望江水岸 精装修四房拎包入住 房东急出售 随时看房;4室;2厅;1卫;122.7;㎡;南北;低层(共25层);2017年建造;望江水岸;张家港;大新;府前路1号;南北,满五年,次新房,;102;万;8316;元/㎡
适合一大家居住 福兴华府124平 大4房 好楼层   一套;4室;2厅;2卫;124.2;㎡;南北;高层(共18层);2019年建造;福兴华府;常熟;碧溪;永嘉路3号;南北,满二年,次新房,;146;万;11760;元/㎡
南北通透 精装修 紫来苑(C区) 满五  住房 诚心出售 价;3室;2厅;1卫;105;㎡;南北;低层(共6层);2015年建造;紫来苑(C区);吴江;南部新城;通联路,近学校路;南北,满五年,多人关注,;61;万;5810;元/㎡
真实中旅蓝岸国际精装两房采光好位置安静成熟商圈配套全看房随时;2室;2厅;1卫;97.4;㎡;南北;低层(共17层);2009年建造;中旅蓝岸花园;工业园;斜塘;淞江路218号;南北,满二年,近地铁,绿化率高,;320;万;32855;元/㎡
3室2厅 86平 满五 金润家园 朝南 居家自住 保养好;3室;2厅;1卫;86.2;㎡;南;低层(共16层);2014年建造;金润家园;常熟;常熟老街;纬四路,近台山路;南,满五年,;120;万;13930;元/㎡
新城十里锦绣105.28平80万3室2厅1卫;3室;2厅;1卫;105.3;㎡;南北;中层(共27层);2019年建造;新城十里锦绣;吴江;盛泽;太平路;南北,满二年,车位充足,;80;万;7599;元/㎡
房源采光好，南北通透，业主诚意出;3室;2厅;2卫;89.7;㎡;南;共5层;2011年建造;御亭水岸;相城;望亭;鹤溪路183号;南,满二年,配套成熟,;120;万;13378;元/㎡
吴江运东清退小三房精装修现房拎包入住近地铁方便有商业看房接送;3室;2厅;1卫;89.9;㎡;南北;高层(共20层);2020年建造;中交九雅花园;吴江;吴江老城;运东大道199号;南北,满二年,近地铁,车位充足,;148;万;16467;元/㎡
胡同新村113平精装 报价97万 满二随时看房;2室;2厅;1卫;113;㎡;南;共5层;2015年建造;胡同新村;张家港;塘桥;胡同路10号;南,满二年,;97;万;8585;元/㎡
万达旁翡翠公馆 110平 三开间朝南 双阳台设计 房东急置换;3室;2厅;2卫;110;㎡;南北;低层(共32层);2019年建造;翡翠公馆;张家港;杨舍;张扬公路;南北,满二年,次新房,;128.8;万;11710;元/㎡
南北通透 2室2厅 102平 玉景花园(二期) 楼层好 视野;2室;2厅;1卫;102.5;㎡;南北;低层(共20层);2021年建造;玉景花园(二期);吴中;木渎;紫金路18号;南北,近地铁,次新房,;168;万;16399;元/㎡
石路地铁口 三房飞机户型  电梯房 改善好房;3室;2厅;1卫;134.3;㎡;南;高层(共9层);2017年建造;凯旋花园;金阊;石路;金门路151号;南,有电梯,近地铁,次新房,;353;万;26285;元/㎡
南北通透 89平 满五  住房 3室2厅 花样年别样城(北区;3室;2厅;1卫;89;㎡;南北;高层(共17层);2017年建造;花样年别样城(北区);吴中;香山;六号路;南北,满五年,绿化率高,;118;万;13259;元/㎡
北海花苑 满二  住房 电梯房 2室2厅 采光好 周边商圈成;2室;2厅;1卫;100;㎡;南北;低层(共10层);2017年建造;北海花苑;张家港;塘市;镇中东路51号;南北,满二年,次新房,;85;万;8500;元/㎡
1室1厅 新盛花园东区  精装修 45平 采光好;1室;1厅;1卫;45;㎡;南北;共5层;2006年建造;新盛花园东区;工业园;胜浦;兴浦路;南北,满五年,配套成熟,;105;万;23334;元/㎡
青漪花园 精装修 电梯房 中上楼层 诚心出售 看中可谈;2室;2厅;1卫;85;㎡;南北;中层(共18层);2019年建造;青漪花园;相城;太平;青漪路109号;南北,满二年,配套成熟,次新房,;138;万;16236;元/㎡
南北通透 园东新村 45平 1室1厅 居家自住 保养好;1室;1厅;1卫;45;㎡;南北;共4层;2003年建造;园东新村;工业园;胜浦;新江路49号;南北,满五年,配套成熟,;100;万;22223;元/㎡
找我买房有优惠！吴中甪直核心C位绿城品质！精装地铁口价格可谈;3室;2厅;1卫;90;㎡;南北;低层(共32层);2017年建造;阳光城丽景湾;吴中;甪直;甪直大道87号;南北,满五年,车位充足,;168.28;万;18698;元/㎡
房源采光好，南北通透，业主诚意出;3室;1厅;1卫;78.8;㎡;南;共4层;1999年建造;咏春花苑;相城;黄埭;住友电装路,近春旺路;南,满二年,;125;万;15863;元/㎡
大四房西边户主卧带独卫 采光好 房龄新 可拎包入住;4室;2厅;2卫;105.8;㎡;南北;共5层;2001年建造;永林新村;平江;娄门;东环路;南北,满五年,近地铁,;295;万;27875;元/㎡
新上洋房急售！两个车位全！只要160还可谈！家电全留！;3室;2厅;1卫;100.9;㎡;南北;高层(共11层);2016年建造;旭辉和风;吴中;甪直;汇凯路;南北,满五年,次新房,;170.82;万;16930;元/㎡
低总价，精装修  湖畔樾山 3室2厅 89平 电梯房 楼层好;3室;2厅;2卫;89;㎡;南北;低层(共31层);2019年建造;湖畔樾山;相城;阳澄湖;湘洲路8号;南北,满二年,车位充足,;132;万;14832;元/㎡
房源采光好，南北通透，业主诚意出售;3室;2厅;3卫;140.5;㎡;南北;中层(共8层);2017年建造;弘阳甪源;吴中;甪直;甪直大道,近甫澄北路;南北,满二年,车位充足,;400;万;28464;元/㎡
捡漏！苏州湾核心板块 太湖城一线湖景大平层 四开间朝南双阳台;5室;2厅;2卫;175.5;㎡;南北;中层(共27层);2017年建造;绿地太湖城;吴江;太湖新城;东太湖大道8899号;南北,满二年,近地铁,次新房,;370;万;21087;元/㎡
370万~370万 少量在售 前排湖景无遮 多开间朝阳;5室;2厅;2卫;175.5;㎡;南;高层(共27层);2017年建造;绿地太湖城;吴江;太湖新城;东太湖大道8899号;南,满二年,近地铁,次新房,;385;万;21942;元/㎡
清退央企现房！园区南，中交九雅精装3房，倒挂周边，双商圈銘笑;3室;2厅;2卫;100.5;㎡;南;中层(共27层);2020年建造;中交九雅花园;吴江;吴江老城;运东大道199号;南,满二年,近地铁,车位充足,;157;万;15625;元/㎡
房源采光好，保养几乎全新，南北通透，业主诚意出;2室;2厅;1卫;96.3;㎡;南;中层(共32层);2011年建造;海尚壹品;工业园;湖东;九华路118号;南,满五年,近地铁,绿化率高,;468;万;48578;元/㎡
金辉正荣花漫四季 89平 电梯房 南北通透 楼层好 视野无遮;3室;2厅;2卫;89;㎡;南北;高层(共14层);2018年建造;金辉正荣花漫四季;吴中;临湖镇;银藏路1718号;南北,满二年,车位充足,;145;万;16293;元/㎡
平台好房丨留电立减10万丨精装修丨拎包入住丨好房稍纵即逝;2室;2厅;1卫;50;㎡;南北;中层(共6层);1999年建造;新庄新村;金阊;西园;西环路;南北,满五年,配套成熟,绿化率高,;83.8;万;16760;元/㎡
新上 苏苑新村北区 三室124万 全明户型 中间位置 有钥匙;3室;1厅;1卫;68.9;㎡;南;共5层;1996年建造;苏苑新村(北区);吴中;苏苑;苏苑街;南,满五年,近地铁,;126;万;18288;元/㎡
诚心出售 映月台 3房 全新装修未住过 155万 可谈;3室;2厅;1卫;85.5;㎡;南北;高层(共6层);2017年建造;未名园映月台;吴中;临湖镇;前青街299号;南北,满二年,次新房,;155;万;18138;元/㎡
全新装修 精装未入住 实验一小;3室;2厅;1卫;107;㎡;南北;高层(共18层);2015年建造;诺丁公馆;太仓;沙溪;印溪南路,近印溪东路;南北,满二年,车位充足,;145;万;13552;元/㎡
正南 3室2厅  金枫美地 精装修;3室;2厅;1卫;88;㎡;南;低层(共6层);2007年建造;金枫美地;吴中;木渎;中山东路90号;南,满五年,近地铁,;165;万;18750;元/㎡
中间楼层 新装修三年 业主诚意出售  全明户型;1室;1厅;1卫;42.3;㎡;南北;中层(共6层);1997年建造;盘溪新村;沧浪;吴门桥;杨家浜弄,近南环西路;南北,满五年,近地铁,;103;万;24373;元/㎡
急售 ！清树湾地铁口湖景三房 价格低 楼层好;3室;2厅;1卫;90;㎡;南;中层(共33层);2014年建造;红树湾花园;吴江;城北;兴吴路1283号;南,满五年,近地铁,;165;万;18334;元/㎡
新加三期5楼复试！卧室带飘窗！户型正气！业主换房急售！;4室;2厅;2卫;123.5;㎡;南北;共5层;2002年建造;新加花园;工业园;湖西;现代大道138号;南北,满二年,近地铁,;499;万;40418;元/㎡
新装修带地暖，房东工作调动谷底价卖，钥匙在手随时看;3室;2厅;2卫;106;㎡;南北;共5层;2002年建造;新加花园;工业园;湖西;现代大道138号;南北,满五年,近地铁,;440;万;41510;元/㎡
甪直镇中心，精装3房带大院子，房东急售，叶圣陶旁，;3室;1厅;1卫;77;㎡;南北;共5层;1995年建造;中联二期澄湖花园;吴中;甪直;机场路16号;南北,满二年,;138;万;17923;元/㎡
吉祥二村，104平，急售135万，满2年，家电全送，换房急售;3室;1厅;1卫;104;㎡;南北;中层(共18层);2016年建造;吉祥二村;吴中;胥口;吉祥路288号;南北,满二年,近地铁,;135;万;12981;元/㎡
园博园旁，洋房，得房率高。大横厅采光通风好;3室;2厅;2卫;107.6;㎡;南北;共1层;2019年建造;和岸花园;吴中;临湖镇;南城头路3号;南北,满二年,次新房,;152;万;14132;元/㎡
仁恒租售中心推荐 3房2厅，房东诚心出售，楼层采光  ;3室;2厅;1卫;105.3;㎡;南北;中层(共30层);2018年建造;仁恒公园世纪;金阊;彩香;劳动路,胥台路;南北,满二年,近地铁,车位充足,;490;万;46556;元/㎡
业主我邻居，已全权委托我;2室;2厅;1卫;103;㎡;南北;中层(共25层);2017年建造;陶浜花园(新);吴中;甪直;海藏西路1959号;南北,满二年,车位充足,;155;万;15049;元/㎡
